id,name,censor,duration,genre1,genre2,genre3,date,releasemonth,year,director 1,director 2,director 3,writers 1,writers 2,writers 3,stars 1,stars 2,stars 3,Country 1,Country 2,Country 3,Language 1,Language 2,Language 3,budget,opening weekend,country,date.1,month.1,year.1,gross,country.1,date.2,month.2,year.2,production company 1,production company 2,production company 3,sound 1,sound 2,sound 3,color,major wins,major nominations,minor wins,minor nominations,releasemonthnum
tt1843866,Captain America: The Winter Soldier,PG-13,136,Action,Adventure,Sci-Fi,4,April,2014,Anthony Russo, Joe Russo, ,Christopher Markus (screenplay), Stephen McFeely (screenplay) , ,Chris Evans, Samuel L. Jackson, Scarlett Johansson ,USA, , ,English, , ,170000000,95023721,USA,4,April,2014,259746958,USA,15,August,2014,Marvel Entertainment, Marvel Studios  , ,Datasat , Dolby Digital , Dolby Atmos,,,1.0,4.0,49.0,4
tt2179136,American Sniper,R,133,Action,Biography,Drama,16,January,2015,Clint Eastwood, , ,Jason Hall, Chris Kyle (book) , ,Bradley Cooper, Sienna Miller, Kyle Gallner ,USA, , ,English , Arabic, ,58800000,676909,USA,2,January,2015,350123553,USA,19,June,2015,Warner Bros., Village Roadshow Pictures, RatPac-Dune Entertainment  ,Dolby Atmos , Datasat , Auro 11.1 ,,1.0,,16.0,33.0,1
tt2015381,Guardians of the Galaxy,PG-13,121,Action,Adventure,Sci-Fi,1,August,2014,James Gunn, , ,James Gunn, Nicole Perlman , ,Chris Pratt, Vin Diesel, Bradley Cooper ,USA , UK, ,English, , ,170000000,94320883,USA,1,August,2014,333130696,USA,9,January,2015,Marvel Studios, Bulletproof Cupid, Marvel Enterprises  ,Datasat , Dolby Digital , Dolby Atmos,,,2.0,46.0,87.0,8
tt1490017,The Lego Movie,PG,100,Animation,Action,Adventure,7,February,2014,Phil Lord, Christopher Miller, ,Phil Lord (screenplay), Christopher Miller (screenplay) , ,Chris Pratt, Will Ferrell, Elizabeth Banks ,Australia , USA , Denmark,English, , ,60000000,69050279,USA,7,February,2014,257756197,USA,29,August,2014,Warner Bros., Village Roadshow Pictures, RatPac-Dune Entertainment  ,Dolby Digital , Datasat , SDDS,,,1.0,67.0,58.0,2
tt1951265,The Hunger Games: Mockingjay - Part 1,PG-13,123,Adventure,Sci-Fi,Thriller,21,November,2014,Francis Lawrence, , ,Peter Craig (screenplay), Danny Strong (screenplay) , ,Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth ,USA, , ,English, , ,125000000,121897634,USA,21,November,2014,337103873,USA,13,March,2015,Color Force, Lionsgate  , ,Datasat , Dolby Atmos , Auro 11.1 ,,,1.0,10.0,21.0,11
tt2310332,The Hobbit: The Battle of the Five Armies,PG-13,144,Adventure,Fantasy,nan,17,December,2014,Peter Jackson, , ,Fran Walsh (screenplay), Philippa Boyens (screenplay) , ,Ian McKellen, Martin Freeman, Richard Armitage ,New Zealand , USA, ,English, , ,250000000,54724334,USA,19,December,2014,255108370,USA,27,March,2015,New Line Cinema, Metro-Goldwyn-Mayer (MGM), WingNut Films  ,Datasat , Dolby SR , Dolby Digital ,,,1.0,5.0,45.0,12
tt1587310,Maleficent,PG,97,Action,Adventure,Family,30,May,2014,Robert Stromberg, , ,Linda Woolverton (screenplay)," Charles Perrault (based on ""La Belle au bois dormant"" written by)", ,Angelina Jolie, Elle Fanning, Sharlto Copley ,USA , UK, ,English, , ,180000000,69431298,USA,30,May,2014,241407328,USA,28,November,2014,Roth Films, Walt Disney Pictures  , ,Datasat , Dolby Digital , Dolby Atmos ,,,1.0,9.0,36.0,5
tt2109248,Transformers: Age of Extinction,PG-13,165,Action,Adventure,Sci-Fi,27,June,2014,Michael Bay, , ,Ehren Kruger, , ,Mark Wahlberg, Nicola Peltz, Jack Reynor ,USA , China, ,English, , ,210000000,100038390,USA,27,June,2014,245428137,USA,3,October,2014,Paramount Pictures, Hasbro, Di Bonaventura Pictures  ,Datasat , Dolby Digital , Dolby Surround 7.1 ,,,,,,6
tt2245084,Big Hero 6,PG,102,Animation,Action,Adventure,7,November,2014,Don Hall, Chris Williams, ,Jordan Roberts (screenplay), Robert L. Baird (screenplay) , ,Ryan Potter, Scott Adsit, Jamie Chung ,USA, , ,English, , ,nan,56215889,USA,7,November,2014,nan, , , , ,Walt Disney Animation Studios, Walt Disney Pictures  , ,, , ,Color,1.0,,13.0,52.0,11
tt1877832,X-Men: Days of Future Past,PG-13,132,Action,Adventure,Sci-Fi,23,May,2014,Bryan Singer, , ,Simon Kinberg (screenplay), Jane Goldman (story) , ,Patrick Stewart, Ian McKellen, Hugh Jackman ,USA , UK , Canada,English , Vietnamese , French,200000000,111000000,USA,23,May,2014,233914986,USA,3,October,2014,Twentieth Century Fox Film Corporation, Marvel Entertainment, TSG Entertainment  ,Dolby , Dolby Atmos , Datasat,,,1.0,12.0,41.0,5
tt2103281,Dawn of the Planet of the Apes,PG-13,130,Action,Adventure,Drama,11,July,2014,Matt Reeves, , ,Mark Bomback, Rick Jaffa , ,Gary Oldman, Keri Russell, Andy Serkis ,USA, , ,English , American Sign Language, ,170000000,72611427,USA,11,July,2014,208543795,USA,28,November,2014,Chernin Entertainment, Ingenious Media, Soho VFX  ,Dolby , Dolby Atmos , Datasat,,,1.0,14.0,44.0,7
tt1872181,The Amazing Spider-Man 2,PG-13,142,Action,Adventure,Fantasy,2,May,2014,Marc Webb, , ,Alex Kurtzman (screenplay), Roberto Orci (screenplay) , ,Andrew Garfield, Emma Stone, Jamie Foxx ,USA, , ,English, , ,200000000,91608337,USA,2,May,2014,202853933,USA,15,August,2014,Marvel Enterprises, Avi Arad Productions, Columbia Pictures  ,SDDS , Datasat , Dolby Digital ,,,,,,5
tt0831387,Godzilla,PG-13,123,Action,Adventure,Sci-Fi,16,May,2014,Gareth Edwards, , ,Max Borenstein (screenplay), Dave Callaham (story) (as David Callaham), ,Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston ,USA , Japan, ,English , Japanese, ,160000000,93188384,USA,16,May,2014,200661309,USA,22,August,2014,Warner Bros., Legendary Pictures, Disruption Entertainment  ,Dolby Atmos , SDDS , Datasat ,,,,,,5
tt1291150,Teenage Mutant Ninja Turtles,PG-13,101,Action,Adventure,Comedy,8,August,2014,Jonathan Liebesman, , ,Josh Appelbaum, André Nemec , ,Megan Fox, Will Arnett, William Fichtner ,USA, , ,English , Japanese, ,125000000,65575105,USA,8,August,2014,190871240,USA,7,November,2014,Paramount Pictures, Nickelodeon Movies, Platinum Dunes  ,Datasat , Dolby Digital , Dolby Atmos,,,,,,8
tt2294449,22 Jump Street,R,112,Action,Comedy,Crime,13,June,2014,Phil Lord, Christopher Miller, ,Michael Bacall (screenplay), Oren Uziel (screenplay) , ,Channing Tatum, Jonah Hill, Ice Cube ,USA, , ,English, , ,50000000,57071445,USA,13,June,2014,191616238,USA,7,November,2014,Columbia Pictures, Metro-Goldwyn-Mayer (MGM), LStar Capital  ,SDDS , Datasat , Dolby Digital,,,,,,6
tt0816692,Interstellar,PG-13,169,Adventure,Drama,Sci-Fi,7,November,2014,Christopher Nolan, , ,Jonathan Nolan, Christopher Nolan, ,Matthew McConaughey, Anne Hathaway, Jessica Chastain ,USA , UK, ,English, , ,165000000,47510360,USA,7,November,2014,187991439,USA,13,March,2015,Paramount Pictures, Warner Bros., Legendary Pictures  ,Datasat , Dolby Digital , IMAX 6-Track,,1.0,,36.0,122.0,11
tt2267998,Gone Girl,R,149,Crime,Drama,Mystery,3,October,2014,David Fincher, , ,Gillian Flynn (screenplay), Gillian Flynn (novel), ,Ben Affleck, Rosamund Pike, Neil Patrick Harris ,USA, , ,English, , ,61000000,37513109,USA,3,October,2014,167735396,USA,6,February,2015,Twentieth Century Fox Film Corporation, Regency Enterprises, TSG Entertainment  ,Dolby Digital, , ,,,1.0,63.0,163.0,10
tt1646971,How to Train Your Dragon 2,PG,102,Animation,Action,Adventure,13,June,2014,Dean DeBlois, , ,Dean DeBlois," Cressida Cowell (""How to Train Your Dragon"" book series)", ,Jay Baruchel, Cate Blanchett, Gerard Butler ,USA, , ,English, , ,nan,49451322,USA,13,June,2014,nan, , , , ,DreamWorks Animation, Duncan Studio, Mad Hatter Entertainment  ,, , ,Color,,1.0,13.0,58.0,6
tt2004420,Neighbors,R,97,Comedy,nan,nan,9,May,2014,Nicholas Stoller, , ,Andrew Jay Cohen, Brendan O'Brien, ,Seth Rogen, Rose Byrne, Zac Efron ,USA, , ,English, , ,18000000,49033915,USA,9,May,2014,150056505,USA,15,August,2014,Good Universe, Point Grey Pictures  , ,SDDS , Datasat , Dolby Digital,,,,,,5
tt1408253,Ride Along,PG-13,99,Action,Comedy,Crime,17,January,2014,Tim Story, , ,Greg Coolidge (screenplay), Jason Mantzoukas (screenplay) , ,Ice Cube, Kevin Hart, Tika Sumpter ,USA, , ,English, , ,25000000,48626380,USA,17,January,2014,134141530,USA,11,April,2014,Cube Vision, LBI Entertainment, Rainforest Films  ,Dolby Digital , Datasat , SDDS,,,,,,1
tt2357291,Rio 2,G,101,Animation,Adventure,Comedy,11,April,2014,Carlos Saldanha, , ,Don Rhymer (screenplay), Carlos Kotkin (screenplay) , ,Jesse Eisenberg, Anne Hathaway, Jemaine Clement ,USA, , ,English , Portuguese, ,nan,39327869,USA,11,April,2014,nan, , , , ,Twentieth Century Fox Animation, Blue Sky Studios  , ,, , ,Color,,,,,4
tt1840309,Divergent,PG-13,139,Adventure,Mystery,Sci-Fi,21,March,2014,Neil Burger, , ,Evan Daugherty (screenplay), Vanessa Taylor (screenplay) , ,Shailene Woodley, Theo James, Kate Winslet ,USA, , ,English , Spanish, ,85000000,54607747,USA,21,March,2014,150832203,USA,4,July,2014,Summit Entertainment, Red Wagon Entertainment, Soho VFX  ,Dolby Digital , Datasat, ,,,,,,3
